LANGUAGE, English,
STRM_briefing_name,Straight Forward Gaming Island Life,,
STRM_mission_description,WWW.StraightForwardGaming.ml,,
STRS_workplacemission_taxi_alreadyinuse,"Either you are already doing a Taxi mission, or you cancelled the mission within the last %1 minutes, so you can not do another mission now. ",,
STRS_workplacemission_taxi_marker_kunde,Your passenger waits here,,
STRS_workplacemission_taxi_begin,A Passenger waits for you. You can see his/her position on the map. Drive around 20 metres near him/her and he/she will board your vehicle automatically.,,
STRS_workplacemission_taxi_wannagetin,Your passenger wants to get into your vehicle. Stay here and wait until he has boarded it.,,
STRS_workplacemission_taxi_target,Bring him to the position marked on the map!,,
STRS_workplacemission_taxi_marker_ziel,Your passenger wants to get here,,
STRS_workplacemission_taxi_nospace,There is no space in your vehicle for your passenger.,,
STRS_workplacemission_taxi_success,You successfully took your passenger to the target. For this mission you got $%1. You get a new taxi mission within a few seconds.,,
STRS_workplacemission_taxi_failure,Either you or your passenger are dead. The Taxi-Mission is cancelled.,,
STRS_workplacemission_taxi_canceled,You finished the Taxi Mission.,,
STRS_bank_no_valid_number,The value is not a valid number.,,
STRS_bank_deposit_self_no,You don't have enough money on your account to transfer $%1 on the wanted Account.,,
STRS_bank_deposit_self_yes,$%1 transferred to your own account.,,
STRS_bank_player_not_ingame,Error: Player not in-game.,,
STRS_bank_no_money,You don't have enough money on your account.,,
STRS_bank_account_getmoney,You got $%1 from %2 on your Account.,,
STRS_bank_deposit_yes,$%1 successfully transferred to the wanted Account. Please note that you had to pay %2 percent taxes for this transfer. So you paid $%3.,,
STRS_bank_withdraw_yes,$%1 successfully withdrawn.,,
STRS_inv_items_ressources,Ressources can not be used. You have to deposit them in factories.,,
STRS_inv_item_vclammo_novehicle,You are not in a vehicle.,,
STRS_inv_item_vclammo_nomg,This vehicle doesn't have a weapon which can be rearmed.,,
STRS_inv_item_vclammo_rearmed,You rearmed this vehicle.,,
